#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
5-L-Glutamyl-L-alanine-13C0	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	15146.3525378	natural abundance corrected peak area	0	protein normalized	uMol/g	13853.5861413954	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	20972.1265595	natural abundance corrected peak area	0	protein normalized	uMol/g	19183.9144034021	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	60211.7359682	natural abundance corrected peak area	0	protein normalized	uMol/g	55072.5640961498	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	76352.0753215	natural abundance corrected peak area	0	protein normalized	uMol/g	69848.2307602769	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	17298.8761321	natural abundance corrected peak area	0	protein normalized	uMol/g	15822.3882645999	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	36046.4515986	natural abundance corrected peak area	0	protein normalized	uMol/g	32971.0969512092	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	34505.7713536	natural abundance corrected peak area	0	protein normalized	uMol/g	31568.1453955755	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	12589.4251823	natural abundance corrected peak area	0	protein normalized	uMol/g	11514.8967910947	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	13867.2218007	natural abundance corrected peak area	0	protein normalized	uMol/g	12687.0556747726	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	4440.27538176	natural abundance corrected peak area	0	protein normalized	uMol/g	4061.290488211	spectrometer peak area
5-L-Glutamyl-L-alanine-13C0	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	11531.4808143	natural abundance corrected peak area	0	protein normalized	uMol/g	10547.2497355846	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	13683.5277808	natural abundance corrected peak area	0	protein normalized	uMol/g	17512.5460135524	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2062.96669261	natural abundance corrected peak area	0	protein normalized	uMol/g	3306.47243670598	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	872.585408755	natural abundance corrected peak area	0	protein normalized	uMol/g	1623.78155454535	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	3764.98394674	natural abundance corrected peak area	0	protein normalized	uMol/g	5093.01008950464	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	247.692701118	natural abundance corrected peak area	0	protein normalized	uMol/g	1471.96598206198	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	6206.23201274	natural abundance corrected peak area	0	protein normalized	uMol/g	7461.79883649158	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	32546.7333995	natural abundance corrected peak area	0	protein normalized	uMol/g	35043.485680895	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	23047.0869524	natural abundance corrected peak area	0	protein normalized	uMol/g	27586.7554776828	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	7001.00881963	natural abundance corrected peak area	0	protein normalized	uMol/g	7894.77642283768	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	5623.93224969	natural abundance corrected peak area	0	protein normalized	uMol/g	8159.80638902664	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	6262.53984634	natural abundance corrected peak area	0	protein normalized	uMol/g	8625.76830013777	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	3524.03754173	natural abundance corrected peak area	0	protein normalized	uMol/g	4292.46009847217	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	2902.96648505	natural abundance corrected peak area	0	protein normalized	uMol/g	3823.91309042763	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	339.53335707104	spectrometer peak area
5-L-Glutamyl-L-alanine-13C1	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	0	natural abundance corrected peak area	0	protein normalized	uMol/g	636.544363534659	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	9508.14191219	natural abundance corrected peak area	0	protein normalized	uMol/g	10077.1367915343	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2822.45025139	natural abundance corrected peak area	0	protein normalized	uMol/g	2844.44644171346	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	2536.82783484	natural abundance corrected peak area	0	protein normalized	uMol/g	2470.45804067125	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	5527.51673486	natural abundance corrected peak area	0	protein normalized	uMol/g	5510.4084483452	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2790.15357109	natural abundance corrected peak area	0	protein normalized	uMol/g	2676.33563160371	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	4786.61290003	natural abundance corrected peak area	0	protein normalized	uMol/g	4995.43371061119	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	37701.566409	natural abundance corrected peak area	0	protein normalized	uMol/g	37818.4414962061	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	24476.5668127	natural abundance corrected peak area	0	protein normalized	uMol/g	24816.2449253884	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	9696.14500059	natural abundance corrected peak area	0	protein normalized	uMol/g	9632.6173594113	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	4053.62103551	natural abundance corrected peak area	0	protein normalized	uMol/g	4315.85479592519	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	7969.21386568	natural abundance corrected peak area	0	protein normalized	uMol/g	8021.16521640424	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	2437.13901579	natural abundance corrected peak area	0	protein normalized	uMol/g	2575.8146788945	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	5445.52125061	natural abundance corrected peak area	0	protein normalized	uMol/g	5349.95395939531	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	808.305697028	natural abundance corrected peak area	0	protein normalized	uMol/g	770.291521032276	spectrometer peak area
5-L-Glutamyl-L-alanine-13C2	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	3455.35475511	natural abundance corrected peak area	0	protein normalized	uMol/g	3268.85690561483	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	39156.4997589	natural abundance corrected peak area	0	protein normalized	uMol/g	37670.0012943476	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	19914.8673747	natural abundance corrected peak area	0	protein normalized	uMol/g	19018.7014527317	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	6845.77285243	natural abundance corrected peak area	0	protein normalized	uMol/g	6643.64387997589	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	14052.8374652	natural abundance corrected peak area	0	protein normalized	uMol/g	13659.6169989952	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	15174.8249094	natural abundance corrected peak area	0	protein normalized	uMol/g	14529.125410268	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	28595.1247314	natural abundance corrected peak area	0	protein normalized	uMol/g	27364.767026407	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	179821.387011	natural abundance corrected peak area	0	protein normalized	uMol/g	172525.469937826	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	45245.6630996	natural abundance corrected peak area	0	protein normalized	uMol/g	44402.1991402512	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	52759.8420142	natural abundance corrected peak area	0	protein normalized	uMol/g	50527.023240731	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	33619.5196272	natural abundance corrected peak area	0	protein normalized	uMol/g	32068.8854831692	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	25846.6404972	natural abundance corrected peak area	0	protein normalized	uMol/g	24970.1165908236	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	23935.352664	natural abundance corrected peak area	0	protein normalized	uMol/g	22800.1401668014	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	31493.8213286	natural abundance corrected peak area	0	protein normalized	uMol/g	30144.7181343776	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	14032.8277074	natural abundance corrected peak area	0	protein normalized	uMol/g	13322.964257112	spectrometer peak area
5-L-Glutamyl-L-alanine-13C3	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	26059.5519978	natural abundance corrected peak area	0	protein normalized	uMol/g	24864.5294650793	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	8726.44107273	natural abundance corrected peak area	0	protein normalized	uMol/g	10439.9802519043	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	8523.38887841	natural abundance corrected peak area	0	protein normalized	uMol/g	9212.72825527242	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1263.18252857	natural abundance corrected peak area	0	protein normalized	uMol/g	1577.21408082095	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	3903.27755342	natural abundance corrected peak area	0	protein normalized	uMol/g	4491.60212257207	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2349.8114632	natural abundance corrected peak area	0	protein normalized	uMol/g	3056.9783825048	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	9707.81478412	natural abundance corrected peak area	0	protein normalized	uMol/g	10810.4714638615	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	36449.3998805	natural abundance corrected peak area	0	protein normalized	uMol/g	44463.3502008817	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	9944.61493032	natural abundance corrected peak area	0	protein normalized	uMol/g	11956.7004710571	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	9088.93038587	natural abundance corrected peak area	0	protein normalized	uMol/g	11507.7468815277	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	12336.3240862	natural abundance corrected peak area	0	protein normalized	uMol/g	13588.9614480363	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	1550.36028664	natural abundance corrected peak area	0	protein normalized	uMol/g	2868.45399385748	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	3827.44465877	natural abundance corrected peak area	0	protein normalized	uMol/g	4934.24854670661	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	10310.9725545	natural abundance corrected peak area	0	protein normalized	uMol/g	11544.1448932763	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	3623.00956399	natural abundance corrected peak area	0	protein normalized	uMol/g	4210.5501340843	spectrometer peak area
5-L-Glutamyl-L-alanine-13C4	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	6772.31513469	natural abundance corrected peak area	0	protein normalized	uMol/g	7864.92426969579	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	9369.56848058	natural abundance corrected peak area	0	protein normalized	uMol/g	9482.74986567794	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	7668.05081703	natural abundance corrected peak area	0	protein normalized	uMol/g	7805.17347119339	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	3278.49315613	natural abundance corrected peak area	0	protein normalized	uMol/g	3236.26210135535	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	2576.78506208	natural abundance corrected peak area	0	protein normalized	uMol/g	2678.36695366605	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	3927.16258534	natural abundance corrected peak area	0	protein normalized	uMol/g	3916.88051655252	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	7232.67521532	natural abundance corrected peak area	0	protein normalized	uMol/g	7446.00979967378	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	33180.7820906	natural abundance corrected peak area	0	protein normalized	uMol/g	33867.6444514293	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	5120.02480373	natural abundance corrected peak area	0	protein normalized	uMol/g	5433.67226064753	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	19747.0939587	natural abundance corrected peak area	0	protein normalized	uMol/g	19550.2992645039	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	4386.03520965	natural abundance corrected peak area	0	protein normalized	uMol/g	4811.2410018301	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	1432.39855284	natural abundance corrected peak area	0	protein normalized	uMol/g	1483.08880455945	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	7291.07958748	natural abundance corrected peak area	0	protein normalized	uMol/g	7243.91994958975	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	3424.39621614	natural abundance corrected peak area	0	protein normalized	uMol/g	3792.69889379376	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	5462.79241855	natural abundance corrected peak area	0	protein normalized	uMol/g	5455.1943979727	spectrometer peak area
5-L-Glutamyl-L-alanine-13C5	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	11056.822482	natural abundance corrected peak area	0	protein normalized	uMol/g	11014.6487360758	spectrometer peak area
5-L-Glutamyl-L-alanine-13C6	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	2807.26300082	natural abundance corrected peak area	0	protein normalized	uMol/g	3057.09957861943	spectrometer peak area
5-L-Glutamyl-L-alanine-13C6	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	5951.00348186	natural abundance corrected peak area	0	protein normalized	uMol/g	6075.64827106675	spectrometer peak area
5-L-Glutamyl-L-alanine-13C6	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	1117.80452573	natural abundance corrected peak area	0	protein normalized	uMol/g	1202.02489311072	spectrometer peak area
5-L-Glutamyl-L-alanine-13C6	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	0	calculated from standard	uM	1730.16124814	natural abundance corrected peak area	0	protein normalized	uMol/g	1780.2053814774	spectrometer peak area
5-L-Glutamyl-L-alanine-13C6	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	0	calculated from standard	uM	2130.77546267	natural abundance corrected peak area	0	protein normalized	uMol/g	2213.45050283022	spectrometer peak area
5-L-Glutamyl-L-alanine-13C6	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	0	calculated from standard	uM	2892.8069767	natural abundance corrected peak area	0	protein normalized	uMol/g	3071.99920697395	spectrometer peak area
